"","subj","k","mean","2.5%","97.5%","parameter","model"
"32",32,1,0.80041204714,0.56000736625,1.043475005,"w1","influence_proba"
"33",1,2,0.90311791408,0.72008621175,1.08579866,"w2","influence_proba"
"34",2,2,0.9568284859,0.83864880075,1.124223665,"w2","influence_proba"
"35",3,2,0.9200766781625,0.78342679425,1.08003359,"w2","influence_proba"
"36",4,2,0.8719757671125,0.69875057025,1.0115284725,"w2","influence_proba"
"37",5,2,0.8775709731125,0.7204382305,1.009736575,"w2","influence_proba"
"38",6,2,0.877337193955,0.73758098575,0.9997742175,"w2","influence_proba"
"39",7,2,0.9280580644825,0.79845911725,1.090782995,"w2","influence_proba"
"40",8,2,0.8864741004025,0.72522635725,1.0290001025,"w2","influence_proba"
"41",9,2,0.907614324465,0.766915549,1.0611425425,"w2","influence_proba"
"42",10,2,0.8996517578125,0.77853861375,1.02340712,"w2","influence_proba"
"43",11,2,0.9385588272825,0.83373157325,1.0698886675,"w2","influence_proba"
"44",12,2,0.9130436848125,0.795219129,1.048039615,"w2","influence_proba"
"45",13,2,0.9458282084125,0.8094324665,1.140050415,"w2","influence_proba"
"46",14,2,0.8547251184725,0.6752060475,0.987803781,"w2","influence_proba"
"47",15,2,0.9667145554625,0.835866899,1.1744835725,"w2","influence_proba"
"48",16,2,0.8926557438625,0.72276027775,1.0530737625,"w2","influence_proba"
"49",17,2,0.8537644735325,0.67622552925,0.98209113325,"w2","influence_proba"
"50",18,2,0.90595321314,0.74855048625,1.071953325,"w2","influence_proba"
"51",19,2,0.9020570114275,0.76292072525,1.044257965,"w2","influence_proba"
"52",20,2,0.8613529295125,0.713816934,0.9827785755,"w2","influence_proba"
"53",21,2,0.91308195774,0.7941884515,1.044197915,"w2","influence_proba"
"54",22,2,0.8553589055425,0.6806905985,0.98182695825,"w2","influence_proba"
"55",23,2,0.8795558433825,0.7392004825,1.00627882,"w2","influence_proba"
"56",24,2,0.83693829335,0.66809094825,0.96206767375,"w2","influence_proba"
