"","mu_w1","mu_w2","mu_w3","mu_w4","mu_w5","mu_alpha","mu_beta","mu_a_infl","mu_b_infl","mu_sigma_infl"
"152",0.69425835,0.63447696,0.72731116,0.76168642,0.90857199,1.7882567,0.25394731,-0.29248682,0.019875975,0.18091
"153",0.56758707,0.68518747,0.69471427,0.80523744,0.81087983,1.4384108,0.26558406,-0.37745731,0.02089099,0.17019416
"154",0.50099284,0.66947505,0.63224001,0.7729959,0.83905193,2.0594402,0.36730539,-0.30819876,0.0088187564,0.15855055
"155",0.68428973,0.72476103,0.65661113,0.84828128,0.96149082,1.8844773,0.38765537,-0.32099881,0.0087877419,0.15012014
"156",0.6786407,0.71184645,0.74658533,0.94278118,0.87361266,1.9990682,0.27109582,-0.28477206,0.012275098,0.15720999
"157",0.63833131,0.66151423,0.71118128,0.85081742,0.89621599,1.811861,0.26024177,-0.26396568,0.011997916,0.16121601
"158",0.6626567,0.68350468,0.72269563,0.76751356,0.89311921,1.9603853,0.27766113,-0.3071061,0.0047329442,0.15012707
"159",0.69357447,0.72764023,0.76338344,0.8494353,0.94182314,1.6002133,0.27995927,-0.30206132,0.020412891,0.15132271
"160",0.65554124,0.73782386,0.68978115,0.78839614,0.82565128,1.5471575,0.30008978,-0.3109808,0.030389125,0.18047175
"161",0.68563273,0.71809031,0.7443959,0.85929324,0.95527475,1.7919465,0.3383721,-0.3066377,0.040925424,0.26103803
"162",0.63456246,0.70012718,0.6886561,0.7515223,0.86512998,1.3824046,0.27696204,-0.37991696,0.027470407,0.18374436
"163",0.69858128,0.72068432,0.73165335,0.89658224,0.94239893,1.4732697,0.31773328,-0.39819014,0.030264891,0.17437666
"164",0.69055621,0.72136905,0.80488917,0.83525672,0.88410676,1.6054937,0.22325711,-0.38118886,0.039842985,0.1821806
"165",0.68887447,0.60864996,0.72056934,0.8522367,0.80796532,1.5649251,0.22106012,-0.35337752,0.030895803,0.19903689
"166",0.67053098,0.74124163,0.77834392,0.79213769,0.93043732,1.6671235,0.15517805,-0.40683688,0.030531102,0.15856782
"167",0.68945184,0.670505,0.65999252,0.74842516,0.9119078,2.0310305,0.2281881,-0.30933946,0.031588115,0.15052109
"168",0.65206075,0.65057814,0.76161034,0.7513736,0.92603339,1.8701594,0.17799561,-0.27364601,0.038373237,0.14753183
"169",0.66651555,0.70400189,0.74580354,0.77054927,0.93331958,1.8986995,0.16220924,-0.2949598,0.039377266,0.14694284
"170",0.59372198,0.72922086,0.67599291,0.88519693,0.88599859,1.8141913,0.23921532,-0.24067396,0.024291329,0.16951691
